textid,words,sylls,ltrvec,perf,isrhymed
585,arms charms,arms arms,A A,0 0,1
586,sound love above skies note flies throat ground,ound ove ove ies ote ies oat ound,A B B C D C D A,1 1 1 0 1 0 1 1,1
587,check proof hoof neck givn drivn fame name repeat great,eck oof oof eck ivn ivn ame ame eat eat,A B B A C C D D E E,1 1 1 1 0 0 1 1 1 1,1
588,seat heat disdains gown town plains assume plume die eye lye attends friends charms arms sound wound,eat eat ins own own ins ume ume ie ye ye ends ends arms arms ound ound,A A B C C B D D E E E F F G G H H,1 1 0 1 1 0 1 1 1 1 1 1 1 0 0 1 1,1
589,drum afar war dumb banner lies sacrifice honour,um ar ar umb er ies ice our,A B B A C D E F,1 1 1 1 0 0 1 1,2
590,power sway obey hour right side tyd delight son undone,er ay ey our ight ide yd ight on one,A B B A D E F D G G,0 1 1 1 1 1 0 1 1 0,1
591,impart art smart stand pride strand tryd deride command moves loves apply fly repair air clouds shrouds,art art art and ide and yd ide and oves oves y y air air uds uds,A A A B C B D C B E E F F G G H H,1 1 1 1 1 1 0 1 1 0 0 1 1 1 1 0 0,1
592,oar art designd mind part bore,oar art ignd ind art ore,A B C D B A,1 1 0 1 1 1,1
593,sea scene vain bed spread lay shore more pursue drew bay display away,ea ene ain ed ead ay ore ore ue ew ay ay ay,A B C D D E F F G G E E E,1 1 1 1 1 1 1 1 1 1 1 1 1,1
594,state face race fate sight shame dame right embrace pace,ate ace ace ate ight ame ame ight ace ace,A B B A C D D C B B,1 1 1 1 1 1 1 1 1 1,1
595,cries flow grow skies,ies ow ow ies,A B B A,0 1 1 0,1
596,fire consume tomb aspire praise care air raise bays,ire ume omb ire aise are air aise ays,A B B A D E E D D,1 1 1 1 1 1 1 1 1,1
597,arrive contrive contest birth earth rest claim race place fame,ive ive est irth earth est aim ace ace ame,A A B C C B D E E D,1 1 1 1 1 1 1 1 1 1,1
598,shown own stile bestows flows isle grow know have grave below move above,own own ile ows ows isle ow ow ave ave ow ove ove,A A B C C B D D E E D F F,1 1 1 0 0 0 1 1 1 1 1 1 1,1
599,inclind art mind impart behind,ind art ind art ind,A B A B A,1 1 1 1 1,1
600,hour belongs songs blows rose flower disclose power prepare designd shind air seen green,our ongs ongs ows ose er ose er are ignd ind air een een,A B B C C A C A D E F D G G,1 0 0 0 0 0 0 0 1 0 1 1 1 1,1
601,round found hung complyd provide young enjoyd cloyd pursue shew way smile pile lay sway day,ound ound ung yd ide oung oyd oyd ue ew ay ile ile ay ay ay,A A B C D B E E F F G H H G G G,1 1 1 0 1 0 0 0 1 1 1 1 1 1 1 1,1
602,gaze place life strife bound round swims brims,aze ace ife ife ound ound ims ims,A B C C D D E E,1 1 1 1 1 1 0 0,1
603,drownd fire desire flame defy nigh fly frame goes bestows,ownd ire ire ame y igh y ame oes ows,A B B C D D D C E F,0 1 1 1 1 0 1 1 0 0,1
604,chear here,ear ere,A A,1 1,1
605,restrain force course run sun complain beside tryd vain thought mind find brought taught,ain orce ourse un un ain ide yd ain ought ind ind ought aught,A B B C C A D E A F G G F F,1 1 1 1 1 1 1 0 1 1 1 1 1 0,1
606,field use produce yield fate years date tears employd destroyd raise erect expect praise more heretofore,ield use uce ield ate ars ate ars oyd oyd aise ect ect aise ore ore,A B B A C D C D E E F G G F H H,1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1,1
607,adore hurld world seven designd mind heaven,ore urld orld en ignd ind en,A B C D E F D,1 0 1 1 0 1 1,2
608,high sky below know fly caught brought lye dye,igh y ow ow y aught ought ye ye,A A B B A C C A A,1 1 1 1 1 1 1 1 1,1
609,marryd miscarryd him him tipple nipple lumber slumber provided it taper vapor digested requested dwelling smelling,yd yd im im e e er er ided it er or ested uested ing ing,A A B B C C D D E F D G H I J J,0 0 1 1 1 1 0 0 0 1 0 1 0 0 1 1,1
610,creature feature hurryd buryd tavern cavern shatters waters quicker liquor deceasd releasd quiet diet salades palates suffices rises regions legions,ure ure yd yd ern ern ers ers er uor easd easd iet iet ades ates es es ons ons,A A B B C C D D E F G G H H I J K K L L,1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1
611,crony tisiphony thinking drinking halter alter getting wetting,y y ing ing er er ing ing,A A B B C C B B,1 1 1 1 0 0 1 1,1
612,flies eyes design confine,ies eyes ign ine,A B C C,0 0 1 1,2
613,allow how rules fools sense thence,ow ow ules ols ense ence,A A B C D D,1 1 0 0 0 0,1
614,shown known sway obey brow bow seemd esteemd appeard cheard sight affright,own own ay ey ow ow eemd eemd eard eard ight ight,A A B B C C D D E E F F,1 1 1 1 1 1 0 0 1 1 1 1,1
615,fled spread paint saint enquires attires fires state create,ed ead aint aint ires ires ires ate eate,A A B B C C C D D,1 1 1 1 0 0 0 1 0,1
616,shade made replyd guide denyd report resort court,ade ade yd uide yd ort ort ourt,A A B C B D D D,1 1 0 1 0 1 1 0,1
617,lass day grass pass play,ass ay ass ass ay,A B A A B,1 1 1 1 1,1
618,gave line have slave mine,ave ine ave ave ine,A B A A B,1 1 1 1 1,1
619,race cries face place eyes,ace ies ace ace eyes,A B A A C,1 0 1 1 0,1
620,ear caught here dear bought,ear aught ere ear ought,A B A A B,1 1 1 1 1,1
621,chose repeat rose close seat,ose eat ose ose eat,A B A A B,1 1 1 1 1,1
622,draw charms thaw saw terms,aw arms aw aw erms,A B A A C,1 0 1 1 0,1
623,pett arts net get parts,ett arts et et arts,A B C C B,0 0 1 1 0,1
624,best throng carest addrest wrong,est ong est est ong,A B A A B,1 1 1 1 1,1
625,death breath fire retire stray way went lent were bear show go engage stage,eath eath ire ire ay ay ent ent ere ear ow o age age,A A B B C C D D E E F F G G,1 1 1 1 1 1 1 1 1 1 1 1 1 1,1
626,found sound reign maintain glass grass took look,ound ound eign ain ass ass ook ook,A A B B C C D D,1 1 1 1 1 1 1 1,1
627,disarmd warmd chose repose paid made perplexd vexd care fair know go,armd armd ose ose aid ade exd exd are air ow o,A A B B C C D D E E F F,0 0 1 1 1 1 0 0 1 1 1 1,1
628,pause laws usd musd cryd divide fall ball,ause aws usd usd yd ide all all,A A B B C D E E,1 1 0 0 0 1 1 1,1
629,agen men betrayd aid nice trice grace place bears hairs sever ever,en en ayd aid ice ice ace ace ars irs er er,A A B C D D E E F G H H,1 1 0 1 1 1 1 1 0 0 0 0,1
630,desird requird sorrow tomorrow storm perform came dame same redress confess borrow tomorrow employd enjoyd,ird uird ow ow orm orm ame ame ame ess ess ow ow oyd oyd,A B C C D D E E E F F C C G G,1 0 1 1 1 1 1 1 1 1 1 1 1 0 0,1
631,truth youth cry dye designd mind,uth outh y ye ignd ind,A B C C D E,0 1 1 1 0 1,2
632,fate dye retreat high invade shade liberty,ate ye eat igh ade ade y,A B A B D D B,1 0 1 0 1 1 0,1
633,come home pass glass ears fears fop shop spread wed brought thought invade shade,ome ome ass ass ars ars op op ead ed ought ought ade ade,A A B B C C D D E E F F E E,1 1 1 1 0 0 1 1 1 0 1 1 0 0,1
634,there care impart art drest feast sauce was board afford there fare bestow grow tree me up cup,ere are art art est east auce as oard ord ere are ow ow ee e up up,A A B B C C D D E E A A F F G G H H,1 0 1 1 1 1 0 0 1 1 1 0 1 1 1 0 1 1,1
635,oer powr peach reach ground found strayd shade,oer owr each each ound ound ayd ade,A B C C D D E F,0 0 1 1 1 1 0 1,2
636,be agree retire fire year appear resumes winterplumes displayd arrayd,e ee ire ire ear ear umes umes ayd ayd,A A B B C C D D E E,1 1 1 1 1 1 0 0 0 0,1
637,heretofore wore drove love house spouse gay may view new fly comply express carelessness,ore ore ove ove ouse ouse ay ay iew ew y y ess ess,A A B B C C D D E E G G H H,1 1 1 1 1 1 1 1 0 1 1 1 1 1,1
638,part art beds sheds field yield prayr air smelt unfelt,art art eds eds ield ield ayr air elt elt,A A B B C C D E F F,1 1 0 0 1 1 0 1 1 1,1
639,descryd abide joy boy wear bear gales vales grew flew,yd ide oy oy ear ear ales ales ew ew,A B C C D D E E F F,0 1 1 1 1 1 0 0 1 1,1
640,agen men sight flight fine shine sun shun beat retreat made shade,en en ight ight ine ine un un eat eat ade ade,A A B B C C D D E E F F,1 1 1 1 1 1 1 1 1 1 1 1,1
641,shown alone mind kind see me,own one ind ind ee e,A A B B C C,1 0 1 1 1 0,1
642,side pride possest best wars cares drawn lawn time prime given heaven hate state betrayd shade,ide ide est est ars ares awn awn ime ime en en ate ate ayd ade,A A B B C D E E F F G G H H I J,1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1,1
643,removd improvd,ovd ovd,A A,0 0,1
644,produce use away sea haste last banks ranks winds rinds top crop shown outgrown oak provoke move drove feast guest,uce use ay ea aste ast anks anks inds inds op op own own oak oke ove ove east est,A A B B C C D D E E F F G G H H I I J C,1 0 1 0 1 0 0 0 0 0 1 1 1 1 1 1 1 1 1 0,1
645,trunk shrunk presage age found ground spread tread fruit root,unk unk age age ound ound ead ead uit oot,A A B B C C D D E E,1 1 1 1 1 1 1 1 0 0,1
646,say lay fate state forgot lot love above heart part,ay ay ate ate ot ot ove ove eart art,A A B B C C D D E E,1 1 1 1 1 1 1 1 1 1,1
647,discourse force charm disarm day gay store before art impart send friend,ourse orce arm arm ay ay ore ore art art end iend,A A B B C C D D E E F F,1 1 1 1 1 1 1 1 1 1 1 0,1
648,drop cup jess oppress ills hills life wife,op up ess ess ills ills ife ife,A A B B C C D D,1 0 1 1 0 0 1 1,1
649,torn scorn harms arms designd humankind bliss this fate retreat rest breast conveyd shade,orn orn arms arms ignd ind iss is ate eat est east eyd ade,A A B B C D E E F F H H I J,1 1 0 0 0 1 1 0 1 1 1 1 0 1,1
650,secure pure yield shield,ure ure ield ield,A A B B,1 1 1 1,1
651,content went gave cave rock shock size devise roof proof,ent ent ave ave ock ock ize ise oof oof,A A B B C C D D E E,1 1 1 1 1 1 1 1 1 1,1
652,light sight fate dilate bore oer playd strayd,ight ight ate ate ore oer ayd ayd,A A B B C D E E,1 1 1 1 1 0 0 0,1
653,dine wine spyd supplyd care there cave grave found ground,ine ine yd yd are ere ave ave ound ound,A A B B C C D D E E,1 1 0 0 1 1 1 1 1 1,1
654,retreat fate caught draught blind hind above dove brought fought,eat ate aught aught ind ind ove ove ought ought,A A B B C C D D B B,1 0 1 1 1 1 1 1 1 1,1
655,oerrun won field yield feast breast thought brought swayd stayd rest blest,un on ield ield east east ought ought ayd ayd est est,A A B B C C D D E E C C,1 0 1 1 1 1 1 1 0 0 0 0,1
656,givn heavn fate retreat freed breed,ivn eavn ate eat eed eed,A B C C E E,0 0 1 1 1 1,1
657,led dead man span were share knew grew trace place,ed ead an an ere are ew ew ace ace,A A B B C C D D E E,1 1 1 1 1 0 1 1 1 1,1
658,eyes skies may clay frame came caught taught retreat fate,eyes ies ay ay ame ame aught aught eat ate,A B C C D D E E F F,0 0 1 1 1 1 1 1 1 0,1
659,behind mind vain obtain earth mirth,ind ind ain ain earth irth,A A B B C C,1 1 1 1 1 1,1
660,dish wish employ joy surveyd shade,ish ish oy oy eyd ade,A A B B C D,1 1 1 1 0 1,1
661,birth earth high supply dry,irth earth igh y y,A A B B B,1 1 1 1 1,1
662,court resort agree fee rest breast desire conspire snow glow,ourt ort ee ee est east ire ire ow ow,A A B B C C D D E E,1 1 1 1 1 1 1 1 1 1,1
663,lease encrease cease mind wind bind dews chuse scene glean,ease ease ease ind ind ind ews use ene ean,A A A B B B C C D D,1 1 1 1 1 1 0 0 1 1,1
664,cries skies lay betray way,ies ies ay ay ay,A A B B B,0 0 1 1 1,1
665,globe robe cryd ride bears cares,obe obe yd ide ars ares,A A B C D D,1 1 0 1 0 1,1
666,shines mines,ines ines,A A,0 0,1
667,flings strings things content rent isles smiles sleep keep advance chance grace place known grown,ings ings ings ent ent isles iles eep eep ance ance ace ace own own,A A A B B C D E E F F G G H H,0 0 0 1 1 0 0 1 1 1 1 1 1 1 1,1
668,sot lot forgot find blind stray way cryd guide deride cheard steerd feard find humankind game came dame,ot ot ot ind ind ay ay yd uide ide eard eerd eard ind ind ame ame ame,A A A B B C C D E E F G F B B H H H,1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1,1
669,haste addrest pursud viewd forgd urgd suits disputes bless possess sight delight allowd croud strive halfalive young tongue wrong,aste est ursud iewd orgd urgd its utes ess ess ight ight owd oud ive ive oung ue ong,A A B C D E F G H H I I J K L L M M M,1 0 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 0 0,1
670,hurld world steed speed pains gains rises prizes despises,urld orld eed eed ins ins es izes es,A B C C D D E F E,0 1 1 1 0 0 0 0 0,1
671,vext perplext life strife,ext ext ife ife,A A B B,1 1 1 1,1
672,endear here cheer pace face place going doing lazy easy think drink story vainglory metal kettle bustle justle measures treasures,ear ere eer ace ace ace oing oing y y ink ink y y al e e e ures ures,A A A B B B C C D D E E D D F G G G H H,1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 0 0,1
673,thicker liquor guard ward cully bully drinkconveigher betrayer boast toast stronger longer taken shaken scorn born shelter helterskelter road load,er uor uard ard y y er yer oast oast er er en en orn orn er er oad oad,A B C C E E A F G G A A H H I I A A J J,0 0 0 1 1 1 0 0 1 1 0 0 1 1 1 1 0 0 1 1,1
674,clamberd rememberd rattles kettles jump thump broken token test best opprest,erd erd attles ettles ump ump en en est est est,A A B C D D E E F F F,1 1 0 0 1 1 1 1 1 1 1,1
675,adornd scornd contest best fought brought wrought fame name aspire admire,ornd ornd est est ought ought ought ame ame ire ire,A A B B C C C D D E E,0 0 1 1 1 1 1 1 1 1 1,1
676,engrossd crossd compose chose behold fold withdraw law pursue view vent meant,ossd ossd ose ose old old aw aw ue iew ent eant,A A B B C C D D E E F F,0 0 1 1 1 1 1 1 1 0 1 0,1
677,seat treat down frown cause laws,eat eat own own ause aws,A A B B C C,1 1 1 1 1 1,1
678,sight light faild veild sway survey gaze amaze combines signs placd gracd saw awe find mind apply fly,ight ight aild eild ay ey aze aze ines igns acd acd aw awe ind ind y y,A A B C D D E E F G H H I J K K L L,1 1 0 0 1 1 1 1 0 0 0 0 1 0 1 1 1 1,1
679,aim tame flame succeed read deed,aim ame ame eed ead eed,A A A B B B,1 1 1 1 0 1,1
680,guides presides directs effects shine divine years appears reveald conceald,ides ides ects ects ine ine ars ars eald eald,A A B B C C D D E E,1 1 0 0 1 1 0 0 0 0,1
681,disguize wise,uize ise,A B,0 1,0
682,come dumb seeks speaks write light dread head reigns veins find blind grant want,ome umb eks aks ite ight ead ead igns ins ind ind ant ant,A A B C D D E E F G H H I I,1 0 0 0 1 1 1 1 0 0 1 1 1 1,1
683,renownd found strife life make take piece encrease shewn own express confess,ownd ound ife ife ake ake iece ease ewn own ess ess,A B C C D D E E F G E E,0 1 1 1 1 1 1 1 0 1 0 0,1
684,deed exceed smart impart,eed eed art art,A A B B,1 1 1 1,1
685,care prayer,are yer,A B,1 0,0
686,decree see relief grief benign confine,ee ee ief ief ign ine,A A B B C C,1 1 1 1 1 1,1
687,goes disclose sight delight climb sublime present content seem him,oes ose ight ight imb ime ent ent eem im,A A B B C C D D E C,0 0 1 1 1 0 1 1 1 1,1
688,cares prayrs returns burns express guess retires fires tell fell few withdrew again slain marriageknot cut,ares ayrs urns urns ess ess ires ires ell ell ew ew ain ain ot ut,A B C C D D E E F F G G H H I I,1 0 0 0 1 1 0 0 1 1 1 1 1 1 1 0,1
689,declares hers arms charms exceed dead,ares ers arms arms eed ead,A A B B C C,1 0 0 0 1 0,1
690,worn adorn fird desird endurd procurd,orn orn ird ird urd urd,A A B B B B,1 1 1 1 1 1,1
691,thought taught higher lyre,ought aught er yre,A A B C,1 0 0 0,2
692,now brow coast lost,ow ow oast ost,A A B B,1 1 1 1,1
693,appears hairs tears fled shed art heart part,ars irs ars ed ed art eart art,A B A C C D D D,0 0 0 1 1 1 1 1,1
694,hear bear alone throne adord sword fears hears plain reign,ear ear one one ord ord ars ars ain eign,A A B B C C D D E E,1 1 1 1 1 1 0 0 1 1,1
695,bound ground contains swains air repair stands hands,ound ound ins ins air air ands ands,A A B B C C D D,1 1 0 0 1 1 0 0,1
696,heat neat place graze came lamb,eat eat ace aze ame amb,A A B C D E,1 1 1 1 1 0,2
697,prove grove sieze increase side pride away day,ove ove ieze ease ide ide ay ay,A A B C D D E E,1 1 0 1 1 1 1 1,1
698,sustains gains comes grooms,ins ins omes oms,A A B C,0 0 0 0,2
699,meats cates rest feast care fare spare,ats ates est east are are are,A B C C D D D,0 0 1 1 1 1 1,1
700,will kill spoil toil feard heard cares prayrs,ill ill oil oil eard eard ares ayrs,A A B B C C D E,1 1 1 1 1 1 1 0,1
701,life knife denyd dyd by sky,ife ife yd yd y y,A A B B C C,1 1 0 0 1 1,1
702,replies dies swear bear declare,ies ies ear ear are,A A B B B,0 0 1 1 0,1
703,time crime err prefer brought fault,ime ime err er ought ault,A A B B C D,1 1 1 1 1 1,1
704,years cares few pursue dew,ars ares ew ue ew,A B C C C,0 1 1 0 1,1
705,past last conveyd laid day lay cries skies away sea,ast ast eyd aid ay ay ies ies ay ea,A A B C D D E E D D,1 1 0 1 1 1 0 0 1 0,1
706,renown crown down implore more suffice eyes,own own own ore ore ice eyes,A A A B B C D,1 1 1 1 1 1 0,1
707,chance glance art heart head bed charms arms blaspheme name pursue view,ance ance art eart ead ed arms arms eme ame ue iew,A A B B C C D D E E F F,1 1 1 1 1 0 0 0 1 0 1 0,1
708,led bed throne own,ed ed one own,A A B B,1 1 1 1,1
709,done sun,one un,A A,1 0,1
710,replies eyes vest exprest love above rod god,ies eyes est est ove ove od od,A B C C D D E E,0 0 1 1 1 1 1 1,1
711,beware despair reveald heald show grow snow,are air eald eald ow ow ow,A A B B C C C,1 1 0 0 1 1 1,1
712,appear severe resign repine deplore more,ear ere ign ine ore ore,A A B B C C,1 1 1 1 1 1,1
713,whole soul demands hands fame came gave grave wins sins,ole oul ands ands ame ame ave ave ins ins,A A B B C C D D E E,1 0 0 0 1 1 1 1 0 0,1
714,seen queen breast addrest exposd inclosd hate relate blood trod rose foes,een een east est osd osd ate ate ood od ose oes,A A B B C C D D E E F F,1 1 1 0 0 0 1 1 1 0 1 1,1
715,succeed deed command land enjoys destroys spreads meads kings things race place foe know fears hears raisd pleasd,eed eed and and oys oys ads ads ings ings ace ace oe ow ars ars aisd easd,A A B B C C D D E E F F G G H H I J,1 1 1 1 0 0 0 0 0 0 1 1 1 1 0 0 0 0,1
716,state fate rest dispossest view pursue down crown spoke broke,ate ate est est iew ue own own oke oke,A A B B C C E E F F,1 1 1 1 0 1 1 1 1 1,1
717,dress confess art impart decay way pride descryd deride,ess ess art art ay ay ide yd ide,A A B B C C D E D,1 1 1 1 1 1 1 0 1,1
718,came fame filld shield sound confound aid shade sight aright bones stones still ill wall fall,ame ame illd ield ound ound aid ade ight ight ones ones ill ill all all,A A B C D D E E F F G G H H I I,1 1 0 1 1 1 1 1 1 1 0 0 1 1 1 1,1
719,heaven given,en en,A A,1 1,1
720,ape mankind find shape form represent discontent storm appear fear spread bed head told hold,ape ind ind ape orm ent ent orm ear ear ead ed ead old old,A B B A C D D C E E F F F G G,1 1 1 1 1 1 1 1 1 1 1 0 1 1 1,1
721,eyes dance advance rise seen opprest breast field lead spleen,eyes ance ance ise een est east ield ead een,A B B C D E E F G D,0 1 1 1 1 1 1 1 1 1,0
722,blame frame sin in comply fly sky,ame ame in in y y y,A A B B C C C,1 1 1 1 1 1 1,1
723,dwelt possest east smelt reign face place brain a appease ease,elt est east elt eign ace ace ain a ease ease,A B B A C D D C E D D,1 1 1 1 1 1 1 1 0 0 0,1
724,possess dress friend attend hear tear,ess ess iend end ear ear,A A B B C C,1 1 1 1 1 1,1
725,croud loud confess art rise brain again eyes heart,oud oud ess art ise ain ain eyes eart,A A B C D E E F C,1 1 1 1 1 1 1 0 1,1
726,yield field sway away obey,ield ield ay ay ey,A A B B B,1 1 1 1 1,1
727,wits fits lay sway,its its ay ay,A A B B,0 0 1 1,1
728,presume come refind sence dispense inclind prevail rail fail see thee thought fault stray springs things way compose rose,ume ome ind ence ense ind ail ail ail ee ee ought ault ay ings ings ay ose ose,A B C D D C E E E F F G H I J J I K K,1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1,1
729,glass face ass,ass ace ass,A A A,1 0 1,1
730,abuse excuse spends friends powr repairs cares hour showr admires,use use ends ends owr irs ares our owr ires,A A B B C D E F C G,1 1 1 1 0 0 1 1 0 0,0
731,fair scene vain air,air ene ain air,A B C A,1 1 1 1,2
732,fires reclind face mind gaze inquires,ires ind ace ind aze ires,A B C B D A,0 1 1 1 1 0,1
733,sense pretence harms stage engage charms know below perplext vext text,ense ence arms age age arms ow ow ext ext ext,A A B C C B D D E E E,0 0 0 1 1 0 1 1 1 1 1,1
734,givn heavn abusd reclusd divine design shrine,ivn eavn usd usd ine ign ine,A B C C D D D,0 0 0 0 1 1 1,1
735,try apply infuse bruise use bring string had sad mad,y y use uise use ing ing ad ad ad,A A B B B C C D D D,1 1 1 0 1 1 1 1 1 1,1
736,gains sees fees pains find trace ways mind thought wrought caught slave grave,ins ees ees ins ind ace ays ind ought ought aught ave ave,A B B A C D E C F F F G G,0 1 1 0 1 1 0 1 1 1 0 1 1,1
737,veins constrains endure cure writes nights impart heart quell repel day way run won,ins ins ure ure ites ights art eart uell el ay ay un on,A A B B C D E E F G H H I I,0 0 1 1 0 0 1 1 0 0 1 1 1 0,1
738,despair air display way white sight breast east afford restord embrace grace went tent floor adore stand hand allows brows,air air ay ay ite ight east east ord ord ace ace ent ent oor ore and and ows ows,A A B B C C D D E E F F G G H H I I J J,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 0,1
739,flood blood haste taste views accuse depends ends care repair there,ood ood aste aste ews use ends ends are air ere,A A B B C C D D E E E,1 1 1 1 0 0 1 1 1 1 1,1
740,wait state day lay speed heed away day,ait ate ay ay eed eed ay ay,A A B B C C B B,1 1 1 1 1 1 1 1,1
741,shine decline name flame weeps keeps lies eyes gaze face knelt felt proves moves,ine ine ame ame eps eps ies eyes aze ace elt elt oves oves,A A B B C C D E F G H H I I,1 1 1 1 0 0 0 0 1 1 1 1 0 0,1
742,expose knows repose,ose ows ose,A A A,1 1 1,1
743,resign divine fears tears shed bled ground surround wound,ign ine ars ars ed ed ound ound ound,A A B B C C D D D,1 1 0 0 1 1 1 1 1,1
744,spring king transcend friend earth birth bind mind,ing ing end iend earth irth ind ind,A A B B C C D D,1 1 1 0 1 1 1 1,1
745,test best rest be agree thee resign mine,est est est e ee ee ign ine,A A A B B B C C,1 1 1 1 1 1 1 1,1
746,mother wed said another bed,er ed aid er ed,A B B A B,0 1 0 0 1,1
747,directed pair effected fair,ected air ected air,A B A B,0 1 0 1,1
748,carryd dispute marryd suit,yd ute yd uit,A B A B,0 1 0 1,1
749,maid betrayd pain swain defies dies,aid ayd ain ain ies ies,A B C C D D,1 0 1 1 0 0,1
750,fate hate desire expire untryd pride strife life,ate ate ire ire yd ide ife ife,A A B B C D E E,1 1 1 1 0 1 1 1,1
751,made invade shade,ade ade ade,A A A,1 1 1,1
752,good brood food,ood ood ood,A A A,1 1 1,1
753,tribe describe bribe,ibe ibe ibe,A A A,1 1 1,1
754,tell excel well,ell el ell,A A A,1 1 1,1
755,souls poles holes,uls oles oles,A B B,0 0 0,1
756,air stare are,air are are,A A A,1 1 1,1
757,years heirs theirs,ars irs irs,A B B,0 0 0,1
758,right night white,ight ight ite,A A A,1 1 1,1
759,power hour devour,er our our,A A A,0 1 1,1
760,part heart divert,art eart ert,A A A,1 1 0,1
761,whoop troop stoop,oop oop oop,A A A,1 1 1,1
762,meat seat treat,eat eat eat,A A A,1 1 1,1
763,away prey play,ay ey ay,A A A,1 1 1,1
764,cryd spyd supplyd,yd yd yd,A A A,0 0 0,1
765,place grace race,ace ace ace,A A A,1 1 1,1
766,maw awe saw,aw awe aw,A B A,1 0 1,1
767,sex becks necks,ex ecks ecks,A A A,1 1 1,1
768,muffs stuffs ruffs,uffs uffs uffs,A A A,0 0 0,1
769,seen green mien,een een ien,A A A,1 1 0,1
770,designd kind inclind,ignd ind ind,A B B,0 1 1,1
771,spoke broke choak,oke oke oak,A A A,1 1 1,1
772,dame frame exclaim,ame ame aim,A A A,1 1 1,1
773,fowls howls owls,owls owls owls,A A A,0 0 0,1
774,sire inspire admire,ire ire ire,A A A,1 1 1,1
775,laid betrayd said,aid ayd aid,A B A,1 0 1,1
776,extolld pulled,olld ulled,A B,0 0,0
777,brought thought son wrought caught undone,ought ought on ought aught one,A A B A A B,1 1 1 1 0 0,1
778,face grace reigns trace place veins,ace ace igns ace ace ins,A A B A A C,1 1 0 1 1 0,1
779,came name said aim claim red,ame ame aid aim aim ed,A A B A A B,1 1 1 1 1 0,1
780,croud loud boy proud endowd toy,oud oud oy oud owd oy,A A B A C B,1 1 1 1 0 1,1
781,state debate alone create great stone,ate ate one eate eat one,A A B A A B,1 1 1 0 0 1,1
782,fair aright affairs sight,air ight irs ight,A B C B,1 1 0 1,2
783,cares shares,ares ares,A A,1 1,1
784,knife goat strife throat note,ife oat ife oat ote,A B A B B,1 1 1 1 1,1
785,beast forbear rest fair there,east ear est air ere,A B A B B,1 1 0 0 1,1
786,true town view down gown,ue own iew own own,A B A B B,1 1 0 1 1,1
787,row appear go shear fear,ow ear o ear ear,A B A B B,1 1 1 1 1,1
788,fate cries late prys wise,ate ies ate ys ise,A B A C B,1 0 1 0 0,1
789,sound ground lent went content lies wise sea away shore store more fold sold skell well,ound ound ent ent ent ies ise ea ay ore ore ore old old ell ell,A A B B B C C D E F F F G G H H,1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1,1
790,heretofore wore downs frowns wave heave supply high combines joins essay way prey,ore ore owns owns ave eave y igh ines ins ay ay ey,A A B B C D E E F G H H H,1 1 0 0 1 1 1 0 0 0 1 1 1,1
791,thrown own grass lass turns mourns,own own ass ass urns urns,A A B B C C,1 1 1 1 0 0,1
792,sheep keep day sea still fulfill sure procure,eep eep ay ea ill ill ure ure,A A B B C C D D,1 1 1 0 1 1 1 1,1
793,performs storms ease seas hour powr estate retreat day away employ joy,orms orms ease eas our owr ate eat ay ay oy oy,A A B C D E F F H H I I,0 0 1 0 1 0 1 1 1 1 1 1,1
794,prevail sail vale,ail ail ale,A A A,1 1 1,1
795,groves place roves proves pace,oves ace oves oves ace,A B A A B,0 1 0 0 1,1
796,bite tale wight quite pail,ite ale ight uite ail,A B A A B,1 1 1 0 1,1
797,speak done weak make run,eak one eak ake un,A B A A B,1 1 1 0 0,1
798,waste fly haste displacd lie,aste y aste acd ie,A B A C B,1 1 1 0 1,1
799,trees seen breeze freeze green,ees een eeze eeze een,A B A A B,1 1 1 1 1,1
800,scratch squire catch overmatch attire,atch uire atch atch ire,A B A A B,1 0 1 1 1,1
801,fret oer set get more,et oer et et ore,A B A A C,1 0 1 1 1,1
802,jail wit rail prevail writ,ail it ail ail it,A B A A B,1 1 1 1 1,1
803,retire me desire see,ire e ire ee,A B A B,1 1 1 1,1
804,alone call one all,one all one all,A B A B,1 1 1 1,1
805,is stray miss way,is ay iss ay,A B C B,1 1 1 1,2
806,tyd scorn provide born,yd orn ide orn,A B C B,0 1 1 1,2
807,misplace find face mind,ace ind ace ind,A B A B,1 1 1 1,1
808,fate change late range,ate ange ate ange,A B A B,1 1 1 1,1
809,swear can are man,ear an are an,A B A B,1 1 0 1,1
810,long replyd strong divide,ong yd ong ide,A B A C,1 0 1 1,2
811,down fear town here,own ear own ere,A B A B,1 1 1 1,1
812,all first fall worst,all irst all orst,A B A B,1 1 1 0,1
813,meet betrayd crete made,eet ayd ete ade,A B A C,1 0 1 1,2
814,stood sails flood gales,ood ils ood ales,A B A C,1 0 1 0,2
